Apartment,sqft_Floor_Area,Bedrooms,Attached_Bathrooms,Balcony,Pantry_and_Kitechen,Living_area_Launch,Made_s_room,Washing_Room,Store_Room,A_C,TwentyFour_hours_Security,Swimming_pool,Gym,Roof_Terrace,Location,Car_parkings,price_Million
1 Bedroom Apartment For Sale In Colombo 2 For...,1550,3,2,3,1,2,1,2,2,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
Colombo.02 Shangri La 02 Bedroom Apartment For...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
OnThree20 - 04 Bedroom Apartment for Sa...,2480,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
Altair 4 Bedroom Luxurious Apartment for Sale...,2750,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
On320 2 Bedroom Furnished Apartment for ...,3990,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
Cinnamon Life 2 Bedroom Luxuriously Furnished...,3200,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
Cinnamon Life Fully Furnished 2 Bed Apartment...,3408,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
55 Million value Apartment selling for 50 Million...,3596,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
Best Price | 2 bedroom large layout | furnished...,2700,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
Luxury Apartment for Sale in Colombo 2 CA585,2375,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,2650,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
Luxury 4 Bedroom apartment for sale in Colombo...,3900,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
Furnished Brand New - 3 Bedrooms At Altair,2980,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,1605,3,2,3,1,2,1,2,2,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
"Altair, 03 Bedroom Unfurnished Appartment for...",1600,3,2,3,1,2,1,2,2,Yes,Yes,Yes,No,Yes,Kotahena,3,27.85714286
"Altair, 03 Bedroom Unfurnished Appartment for...",2733,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.75
"On320, 02 Bedroom Fully Furnished Apartment For...",1550,3,2,3,1,2,1,2,2,Yes,Yes,Yes,No,Yes,Kotahena,3,27.64285714
OnThree20 03 Bedroom Furnished Apartment for Sale...,4428,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.32142857
447 Luna Tower 02 Bedroom Unfurnished Apartment...,2100,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.32142857
OnThree20 03 BedRoom Furnished Apartment for Sale...,3565,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.32142857
Shangri La Apartment 2 Bedroom Furnished Apartment...,3300,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.32142857
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,2121,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.10714286
2BR Quality Modern Luxury Living at the Heart...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.10714286
The One Gall face residence (Shangri-La) For Sale...,3410,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.10714286
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,2950,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27.10714286
Move into one of the finest units at Shangri-La...,1800,4,3,4,1,2,1,2,2,Yes,Yes,Yes,No,Yes,Kotahena,3,27
"Penthouses in Colombo for sale Shangri-La, CCC,...",3596,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",2100,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27
2 Bedroom Apartment for Sale in One Galle Face...,2100,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27
Shangri-la Apartment for Sale,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27
Luxury Apartment For Sale In One Galle Face -...,2800,4,3,4,2,3,2,3,3,Yes,Yes,Yes,No,Yes,Kotahena,3,27
"On320, 02 Bedroom Fully Furnished Apartment For...",1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
"Shangril-La, 02 Bedroom Unfurnished Apartment...",1034,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
447 Luna Tower 02 Bedroom Unfurnished Apartment...,1260,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
OnThree20 03 BedRoom Furnished Apartment for Sale...,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
Move into one of the finest units at Shangri-La...,1440,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
Shangri-la Apartment for Sale,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
CINNAMON LIFE Three Bedroom Apartment for sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
Two bedrooms apartment for sale in Shangri-la...,1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
On320 2 Bedroom Furnished Apartment for ...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
Cinnamon Life 2 Bedroom Luxuriously Furnished...,1140,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.82142857
447 Luna Tower - Type C2 (2 bedrooms),1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,1125,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
"Altair, 03 Bedroom Unfurnished Appartment for...",1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
"On320, 02 Bedroom Fully Furnished Apartment For...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Apartment for Sale - The Residences at One Galle...,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,1000,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
"Penthouses in Colombo for sale Shangri-La, CCC,...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Brand New 02 Bedroom Untouched Apartment for sale...,1163,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
SHANGRI-LA Two Bedroom Apartment For Sale,800,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Apartment for Sale in Shangri-la Residence / One...,1000,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
"447 Luna Tower - Union Place, Colombo 02 | Type...",900,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
447 Luna Tower - Type D (3 bedrooms),1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
OnThree20 - 04 Bedroom Apartment for Sa...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Cinnamon Life 2 Bedroom Luxuriously Furnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Cinnamon Life Fully Furnished 2 Bed Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
55 Million value Apartment selling for 50 Million...,1008,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1240,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
3bed with 2 car parks at On320,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Furnished Brand New - 3 Bedrooms At Altair,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
OnThree20 03 Bedroom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
OnThree20 03 BedRoom Furnished Apartment for Sale...,1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
447 Luna Tower 02 Bedroom Unfurnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
The One Gall face residence (Shangri-La) For Sale...,950,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Luxury Apartment For Sale In One Galle Face -...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
Colombo 1 One Galle Face 4BR Apartment F...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
CINNAMON LIFE Three Bedroom Apartment for sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.28571429
447 Luna Tower - Type D (3 bedrooms),1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.17857143
1 Bedroom Apartment For Sale In Colombo 2 For...,950,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.17857143
Colombo.02 Shangri La 02 Bedroom Apartment For...,1084,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,19.17857143
OnThree20 - 04 Bedroom Apartment for Sa...,1282,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.07142857
Altair 4 Bedroom Luxurious Apartment for Sale...,1282,3,2,3,1,2,1,2,1,No,No,No,No,No,Kottawa,3,13.07
Cinnamon Life 2 Bedroom Luxuriously Furnished...,1282,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.07142857
Cinnamon Life Fully Furnished 2 Bed Apartment...,1282,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,19.07142857
447 Luna Tower - Type D (3 bedrooms),1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
"Altair, 03 Bedroom Unfurnished Appartment for...",1390,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.75
"Shangril-La, 02 Bedroom Unfurnished Apartment...",900,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
OnThree20 03 Bedroom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
OnThree20 03 BedRoom Furnished Apartment for Sale...,1270,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.75
OnThree20 03 BedRoom Furnished Apartment for Sale...,900,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
Shangri La Apartment 2 Bedroom Furnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
The One Gall face residence (Shangri-La) For Sale...,1250,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.75
"Penthouses in Colombo for sale Shangri-La, CCC,...",900,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
2 Bedroom Apartment for Sale in One Galle Face...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
Luxury Apartment For Sale In One Galle Face -...,800,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
CINNAMON LIFE Three Bedroom Apartment for sale...,1120,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
Two bedrooms apartment for sale in Shangri-la...,1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.75
Cinnamon Life 2 Bedroom Luxuriously Furnished...,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.75
55 Million value Apartment selling for 50 Million...,1050,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1400,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.75
Furnished Brand New - 3 Bedrooms At Altair,600,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
"Altair, 03 Bedroom Unfurnished Appartment for...",1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.75
"On320, 02 Bedroom Fully Furnished Apartment For...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.75
Move into one of the finest units at Shangri-La...,1270,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.42857143
"Penthouses in Colombo for sale Shangri-La, CCC,...",1475,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.32142857
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",1475,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.32142857
Shangri-la Apartment for Sale,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,900,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Colombo 1 One Galle Face 4BR Apartment F...,1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Luxury Apartment For Sale in Colombo 1,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
"447 Luna Tower - Union Place, Colombo 02 | Type...",1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
OnThree20 - 04 Bedroom Apartment for Sa...,1370,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Cinnamon Life 2 Bedroom Luxuriously Furnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Cinnamon Life Fully Furnished 2 Bed Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
55 Million value Apartment selling for 50 Million...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,800,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
3bed with 2 car parks at On320,1470,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Furnished Brand New - 3 Bedrooms At Altair,1440,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
447 Luna Tower - Type C2 (2 bedrooms),1150,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
"Altair, 03 Bedroom Unfurnished Appartment for...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
"On320, 02 Bedroom Fully Furnished Apartment For...",900,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Shangri La Apartment 2 Bedroom Furnished Apartment...,1300,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,1035,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Move into one of the finest units at Shangri-La...,1300,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
2 Bedroom Apartment for Sale in One Galle Face...,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Luxury Apartment For Sale In One Galle Face -...,1250,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
SHANGRI-LA Two Bedroom Apartment For Sale,1150,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
"447 Luna Tower - Union Place, Colombo 02 - Type...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.21428571
Cinnamon Life 2 Bedroom Luxuriously Furnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.10714286
Cinnamon Life Fully Furnished 2 Bed Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.10714286
Luxury Apartment for Sale in Colombo 2 CA585,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,18.10714286
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1480,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.10714286
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1405,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18.10714286
Furnished Brand New - 3 Bedrooms At Altair,1400,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,18
OnThree20 03 BedRoom Furnished Apartment for Sale...,1100,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.78571429
OnThree20 03 BedRoom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
Apartment for Sale - The Residences at One Galle...,1000,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
Shangri La Apartment 2 Bedroom Furnished Apartment...,1320,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
The One Gall face residence (Shangri-La) For Sale...,812,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
Move into one of the finest units at Shangri-La...,1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
2 Bedroom Apartment for Sale in One Galle Face...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
Luxury Apartment For Sale in Colombo 1,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
"447 Luna Tower - Union Place, Colombo 02 | Type...",1240,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
"447 Luna Tower - Union Place, Colombo 02 - Type...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
OnThree20 - 04 Bedroom Apartment for Sa...,1249,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
On320 2 Bedroom Furnished Apartment for ...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
55 Million value Apartment selling for 50 Million...,1100,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
Luxury 4 Bedroom apartment for sale in Colombo...,784,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,1440,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.67857143
"Altair, 03 Bedroom Unfurnished Appartment for...",1217,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.57142857
OnThree20 03 Bedroom Furnished Apartment for Sale...,1160,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.46428571
2BR Quality Modern Luxury Living at the Heart...,700,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.35714286
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.35714286
Move into one of the finest units at Shangri-La...,1050,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.35714286
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.35714286
Colombo 1 One Galle Face 4BR Apartment F...,710,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Two bedrooms apartment for sale in Shangri-la...,1210,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
"447 Luna Tower - Union Place, Colombo 02 | Type...",1000,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Altair 4 Bedroom Luxurious Apartment for Sale...,1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1000,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Furnished Brand New - 3 Bedrooms At Altair,1500,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
447 Luna Tower - Type C2 (2 bedrooms),1410,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,815,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
"Altair, 03 Bedroom Unfurnished Appartment for...",1045,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
"On320, 02 Bedroom Fully Furnished Apartment For...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
OnThree20 03 Bedroom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
447 Luna Tower 02 Bedroom Unfurnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Apartment for Sale - The Residences at One Galle...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Shangri La Apartment 2 Bedroom Furnished Apartment...,1000,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
"Penthouses in Colombo for sale Shangri-La, CCC,...",1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
SHANGRI-LA Two Bedroom Apartment For Sale,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Apartment for Sale in Shangri-la Residence / One...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
"447 Luna Tower - Union Place, Colombo 02 - Type...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
1 Bedroom Apartment For Sale In Colombo 2 For...,1000,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Altair 4 Bedroom Luxurious Apartment for Sale...,1320,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Best Price | 2 bedroom large layout | furnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Luxury Apartment for Sale in Colombo 2 CA585,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Luxury 4 Bedroom apartment for sale in Colombo...,910,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
3bed with 2 car parks at On320,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Furnished Brand New - 3 Bedrooms At Altair,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Beira / Ocean View Luxury Apartment at Capitol...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,1400,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
OnThree20 03 Bedroom Furnished Apartment for Sale...,1453,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
OnThree20 03 BedRoom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
447 Luna Tower 02 Bedroom Unfurnished Apartment...,1080,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
OnThree20 03 BedRoom Furnished Apartment for Sale...,890,2,1,2,1,1,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Apartment for Sale - The Residences at One Galle...,1320,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Shangri La Apartment 2 Bedroom Furnished Apartment...,1400,3,2,3,1,2,1,2,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,No,Kottawa,3,17.14285714
